
----QMATRIX: [Sensed Threat] > ACTION == UTILITY------
eration Qty: 5000.0
Learning Rate: 0.1
Discount Factor: 0.9
Decay: 0.15
Max View Distance: 10.0

-----SIMULATION STEPS------
Steps | Exploration Rate | QMatrix Size | Crashes | Victories | Distance Moved | Speed
285 57.249565 11 7 2 178.14232 0.02335841
286 57.099564 11 7 2 178.60008 0.023357796
287 56.949562 11 7 2 179.05809 0.046654623
288 56.79956 11 7 2 180.00389 0.02335841
289 56.64956 11 7 2 180.46158 0.01558976
290 56.499557 11 7 2 180.76707 0.046654623
291 56.349556 11 8 2 181.71458 0.031108856
292 56.199554 11 8 2 182.32495 0.03206743
293 56.049553 11 8 2 182.9658 0.03110933
294 55.89955 11 8 2 183.57632 0.046672918
295 55.74955 11 8 2 184.5222 0.03110933
296 55.59955 11 8 2 185.13255 0.03110933
297 55.449547 11 8 2 185.74275 0.015566256
298 55.299545 11 8 2 186.04793 0.015566256
299 55.149544 11 8 2 186.35326 0.03110933
300 54.999542 11 8 2 186.96361 0.03110933
301 54.84954 11 8 2 187.57396 0.03110933
302 54.69954 11 8 2 188.18448 0.046672918
303 54.549538 11 8 2 189.13036 0.031109441
304 54.399536 11 8 2 189.7407 0.031109441
305 54.249535 11 8 2 190.35106 0.03110933
306 54.099533 11 8 2 190.96133 0.023327995
307 53.94953 11 8 2 191.41919 0.03198462
308 53.79953 11 8 2 192.06021 0.046654217
309 53.64953 11 8 2 193.00626 0.04665431
310 53.499527 11 8 2 193.95206 0.023353433
311 53.349525 11 8 2 194.40991 0.031829484
312 53.199524 11 8 2 195.05069 0.023327302
313 53.049522 11 8 2 195.5087 0.04665531
314 52.89952 11 8 2 196.4545 0.023328088
315 52.74952 11 8 2 196.91226 0.023327302
316 52.599518 11 8 2 197.37003 0.023326531
317 52.449516 11 8 2 197.82779 0.02336315
318 52.299515 11 8 2 198.28555 0.023362426
319 52.149513 11 8 2 198.74341 0.031097364
320 51.99951 11 8 2 199.38443 0.04665501
