
----QMATRIX: [Sensed Threat] > ACTION == UTILITY------
eration Qty: 1000.0
Learning Rate: 0.1
Discount Factor: 0.9
Decay: 0.15
Max View Distance: 10.0

-----SIMULATION STEPS------
Steps | Exploration Rate | QMatrix Size | Crashes | Victories | Distance Moved | Speed
180 72.999725 5 2 8 117.0272 0.03110933
181 72.849724 5 2 8 117.65296 0.046672918
182 72.69972 5 2 8 118.58344 0.015566256
183 72.54972 5 2 8 118.90403 0.03110933
184 72.39972 5 2 8 119.52964 0.03110933
185 72.24972 5 2 8 120.1551 0.015566256
186 72.09972 5 2 8 120.475685 0.03110933
187 71.949715 5 2 8 121.101295 0.03110933
188 71.79971 5 2 8 121.72706 0.046672918
189 71.64971 5 2 8 122.657845 0.046672918
190 71.49971 5 2 8 123.588486 0.03198462
191 71.34971 5 2 8 124.22935 0.031111434
192 71.19971 5 2 8 124.85499 0.03441079
193 71.049706 5 2 8 125.54163 0.033979777
194 70.899704 5 2 8 126.22156 0.033543777
195 70.7497 5 2 8 126.893074 0.046586826
196 70.5997 5 2 8 127.82371 0.031126885
197 70.4497 5 2 8 128.4382 0.015868636
198 70.2997 5 2 8 128.74353 0.031035416
199 70.1497 5 2 8 129.35388 0.031106465
200 69.999695 5 2 8 129.96423 0.031104995
201 69.84969 5 2 8 130.57475 0.04655482
202 69.69969 5 2 8 131.52063 0.030855525
203 69.54969 5 2 8 132.13084 0.01605607
204 69.39969 5 2 8 132.46667 0.031093527
205 69.24969 5 2 8 133.0772 0.046520874
206 69.099686 5 2 8 134.02307 0.03110544
207 68.949684 5 2 8 134.63344 0.03216242
208 68.79968 5 2 8 135.27429 0.030254949
209 68.64968 5 2 8 135.88464 0.030007802
210 68.49968 5 2 8 136.495 0.029800817
211 68.34968 5 2 8 137.09793 0.029525487
212 68.19968 5 2 8 137.67793 0.04597638
213 68.049675 5 2 8 138.59329 0.029074026
214 67.89967 5 2 8 139.17302 0.018145462
215 67.74967 5 2 8 139.53935 0.031114485
216 67.59967 5 2 8 140.1497 0.031110775
